Index,Date,Type Code,Type Name,Type Shortname,Account,Amount,Amount Currency Full,Amount Currency,Account To,Amount To,Amount To Currency Full,Amount To Currency,Balance,Balance Currency Full,Balance Currency,Base Category,Sub Category,Full Category,Description,Agent,Check number,Class
167,21 Jul 2020 11:53:50,2,Expense,TEP,Wisdom (KBank),89,Thai Baht,THB,,0,Unknown,UKN,1002412.61,Thai Baht,THB,Digital Shopping,Game,Digital Shopping: Game,,Apple,,
168,21 Jul 2020 12:03:21,3,Income,TIN,Primary (KBank),692.8,Thai Baht,THB,,0,Unknown,UKN,75000.85,Thai Baht,THB,Interest,,Interest,,,,
169,21 Jul 2020 12:09:42,5,Money Transfer,TMT,Primary (KBank),718,Thai Baht,THB,World Mastercard (KTC),718,Thai Baht,THB,74282.85,Thai Baht,THB,,,,,,,
170,21 Jul 2020 12:11:59,3,Income,TIN,Primary (KBank),19096.24,Thai Baht,THB,,0,Unknown,UKN,93379.09,Thai Baht,THB,Other,,Other,All prang loan,Natcha,,
171,21 Jul 2020 12:13:24,5,Money Transfer,TMT,Primary (KBank),63379.09,Thai Baht,THB,Saving Account (ME),63379.09,Thai Baht,THB,30000,Thai Baht,THB,,,,,,,
172,21 Jul 2020 12:25:44,5,Money Transfer,TMT,Primary (KBank),14491.72,Thai Baht,THB,Wisdom (KBank),14491.72,Thai Baht,THB,15508.28,Thai Baht,THB,,,,,,,
173,22 Jul 2020 10:17:25,5,Money Transfer,TMT,Primary (KBank),10000,Thai Baht,THB,Fund,10000,Thai Baht,THB,5508.28,Thai Baht,THB,,,,,,,
174,22 Jul 2020 10:17:56,3,Income,TIN,Primary (KBank),504.78,Thai Baht,THB,,0,Unknown,UKN,6013.06,Thai Baht,THB,Interest,,Interest,Krungsri,,,
175,23 Jul 2020 21:00:08,2,Expense,TEP,Wisdom (KBank),1237,Thai Baht,THB,,0,Unknown,UKN,1015667.33,Thai Baht,THB,Food,Dinner,Food: Dinner,,,,
176,24 Jul 2020 12:26:42,2,Expense,TEP,Wisdom (KBank),453.4,Thai Baht,THB,,0,Unknown,UKN,1015213.93,Thai Baht,THB,Physical Shopping,Accessories,Physical Shopping: Accessories,Switch Docker,Lazada,,
177,25 Jul 2020 15:57:40,2,Expense,TEP,Wallet,260,Thai Baht,THB,,0,Unknown,UKN,460,Thai Baht,THB,Food,Lunch,Food: Lunch,,,,
178,25 Jul 2020 20:33:50,1,Opening Balance,TOB,Saving Account (Kept),0,Thai Baht,THB,,0,Unknown,UKN,0,Thai Baht,THB,,,,,,,
179,25 Jul 2020 20:34:35,5,Money Transfer,TMT,Saving Account (ME),150000,Thai Baht,THB,Saving Account (Kept),150000,Thai Baht,THB,1027816.28,Thai Baht,THB,,,,,,,
